customerid,subscription_start_date,subscription_type,renewal_date,plan_type,contract_type,cancellation_date,cancellation_reason,monthly_charges,cltv,churn_score,churn_flag,customer_name,country,state,gender,dob,complaint_date,escalations,csat_score,complaint_count
0002-ORFBO,2021-03-15,Refferal,2025-03-15,Standard,Annual,,,13.99,627.0,12,0,keshav,India,Maharashtra,Male,1982-04-12,,,,
0003-MKNFE,2020-08-01,Paid,2024-08-01,Premium,Annual,2024-09-10,Switched to competitor,12.99,1150.0,91,1,raghav,India,Karnataka,Male,1995-11-23,2024-08-28,N,60.0,2.0
0004-TLHLJ,2022-11-20,Organic,2025-11-20,Basic,Monthly,,,6.99,210.0,34,0,lalita,India,Delhi,Female,1978-02-15,,,,
0011-IGKFF,2019-05-10,Paid,2025-05-10,Premium,Annual,,,22.99,1725.0,8,0,mohan,India,Nagaland,Male,2001-08-30,,,,
0013-EXCHZ,2023-01-05,Refferal,2024-01-05,Standard,Monthly,2024-02-28,Too expensive,13.99,195.0,88,1,mira,India,Delhi,Female,1990-05-05,2024-01-20,Y,20.0,1.0
0013-MHZWF,2022-06-18,Paid,2025-06-18,Standard,Annual,,,17.99,720.0,22,0,durga,India,Delhi,Female,1988-12-10,2025-03-18,N,90.0,1.0
0013-SMEOE,2021-09-30,Refferal,2024-09-30,Basic,Monthly,2024-11-15,Not enough content,8.99,230.0,79,1,mina,India,Meghalaya,Female,1976-09-21,2024-11-01,N,30.0,1.0
0014-BMAQU,2020-02-14,Organic,2025-02-14,Premium,Annual,,,22.99,1840.0,5,0,madan,India,Rajasthan,Male,1999-03-14,,,,
0015-UOCOJ,2023-07-22,Organic,2024-07-22,Standard,Monthly,,,13.99,240.0,34,0,maya,Nepal,Kathmandu,Female,1985-07-07,,,,
0016-QLJIS,2022-04-03,Organic,2025-04-03,Basic,Annual,,,6.99,335.0,41,0,arjun,Nepal,Kathmandu,Male,1993-10-29,,,,
0017-DINOC,2021-12-01,Organic,2025-12-01,Premium,Annual,,,22.99,1610.0,14,0,shiva,India,Maharashtra,Male,1997-01-22,,,,
0017-IUDMW,2023-03-17,Refferal,2024-03-17,Standard,Monthly,2024-05-01,Poor streaming quality,7.99,270.0,83,1,rangadevi,India,Karnataka,Female,1981-06-18,2024-04-10,Y,25.0,1.0
0018-NYROU,2020-10-09,Organic,2025-10-09,Standard,Annual,,,13.99,980.0,19,0,chitra,India,Telangana,Female,2004-12-01,,,,
0019-EFAEP,2022-08-25,Refferal,2024-08-25,Basic,Monthly,2024-10-31,Switched to competitor,12.99,160.0,76,1,raju,India,Meghalaya,Female,1992-04-25,2024-09-27,Y,30.0,1.0
0019-GFNTW,2019-11-11,Paid,2025-11-11,Premium,Annual,,,92.99,2185.0,3,0,Madhav,India,Uttar Pradesh,Male,1979-11-11,,,,
0020-INWCK,2023-05-06,Organic,2025-05-06,Standard,Monthly,,,13.99,640.0,58,0,parvati,India,Delhi,Female,1986-02-28,,,,
0020-JDNXP,2022-01-19,Organic,2024-01-19,Premium,Annual,,,20.99,550.0,62,0,rikim,India,Meghalaya,Female,1994-08-19,,,,
0021-IKXGC,2021-07-07,Paid,2025-07-07,Standard,Annual,,,13.99,840.0,27,0,vishakha,India,Rajasthan,Female,2000-09-02,,,,
0022-TCJCI,2023-09-14,Refferal,2024-09-14,Basic,Monthly,2024-09-14,Forgot to cancel trial,16.99,42.0,99,1,raghvendra,India,Telangana,Male,1983-12-30,2024-09-14,N,90.0,2.0
0023-HGHWL,2020-06-23,Organic,2025-06-23,Premium,Annual,,,22.99,1955.0,7,0,rishabh,India,Uttar Pradesh,Male,1991-05-14,,,,
0023-UYUPN,2022-12-31,Paid,2025-12-31,Standard,Monthly,,,13.99,790.0,47,0,sudevi,India,Maharashtra,Female,1977-10-06,,,,
9764-FJZIA,2021-08-25,Paid,2022-08-25,Basic,Monthly,,,6.99,363.48,25,0,Aditya,India,Kerala,Male,1994-06-30,,,,
2881-OKLJZ,2024-03-21,Referral,2025-03-21,Premium,Annual,,,22.99,482.79,95,0,Neha,India,Tamil Nadu,Female,1974-03-12,,,,
6973-CQDAZ,2022-01-21,Referral,2023-01-21,Premium,Annual,2022-12-28,Forgot to cancel trial,22.99,252.89,73,1,Rohan,India,Madhya Pradesh,Female,1984-09-24,,,,
9199-YJZVT,2019-07-18,Paid,2020-07-18,Basic,Monthly,,,6.99,545.22,10,0,Karan,India,Haryana,Female,1997-02-02,,,,
8625-YLEWG,2023-04-18,Paid,2024-04-18,Premium,Monthly,2024-12-20,Switched to competitor,23.99,479.8,72,1,Nikhil,India,Maharashtra,Male,1979-03-17,,,,
5265-ZXDJB,2019-10-23,Organic,2020-10-23,Premium,Monthly,2020-02-02,Switched to competitor,22.99,68.97,81,1,Ishaan,India,Haryana,Female,1960-09-09,2019-12-09,N,90.0,1.0
2468-OOAXW,2019-02-12,Referral,2020-02-12,Basic,Annual,2020-02-02,Switched to competitor,6.99,76.89,89,1,Karan,India,Tamil Nadu,Female,1998-11-21,2019-07-19,N,70.0,1.0
6834-YDDRL,2019-04-08,Paid,2020-04-08,Basic,Monthly,,,8.99,728.19,8,0,Rahul,India,Karnataka,Female,1998-09-05,,,,
0826-QGDNO,2024-02-22,Organic,2025-02-22,Standard,Monthly,,,14.99,329.78,19,0,Mohan,India,Maharashtra,Male,1986-05-06,,,,
3032-BBJUW,2022-02-11,Referral,2023-02-11,Basic,Monthly,,,7.99,375.53,14,0,Aditi,India,Gujarat,Male,1997-04-04,,,,
8044-NROZF,2020-04-05,Paid,2021-04-05,Standard,Monthly,,,13.99,965.31,58,0,Tanvi,India,Kerala,Male,1990-02-08,2024-08-04,N,100.0,1.0
7330-LMUKP,2024-11-13,Referral,2025-11-13,Basic,Annual,2027-01-14,Poor streaming quality,6.99,181.74,77,1,Mohan,India,West Bengal,Female,1961-08-21,2026-11-29,N,90.0,2.0
7705-SDTHQ,2021-05-13,Paid,2022-05-13,Basic,Annual,2023-01-02,Not enough content,6.99,132.81,55,1,Meera,India,West Bengal,Male,1967-08-30,,,,
9200-RAEDX,2020-06-03,Paid,2021-06-03,Basic,Annual,,,6.99,468.33,12,0,Nikhil,India,Tamil Nadu,Male,1996-03-02,,,,
0369-FZPZP,2022-07-02,Organic,2023-07-02,Premium,Annual,,,24.99,1049.58,2,0,Sakshi,India,Maharashtra,Female,2002-08-27,2024-08-15,N,100.0,1.0
7767-GOYMV,2024-07-07,Organic,2025-07-07,Standard,Annual,,,13.99,251.82,17,0,Rahul,India,Bihar,Male,1985-08-24,,,,
9877-GVDYS,2020-12-22,Referral,2021-12-22,Standard,Annual,2023-02-25,Poor streaming quality,13.99,363.74,75,1,Aarav,India,Punjab,Male,1961-06-01,,,,
6240-UJAXH,2019-12-18,Referral,2020-12-18,Basic,Annual,,,6.99,510.27,42,0,Ananya,India,Delhi,Female,1973-09-01,,,,
0044-URCTK,2022-05-21,Referral,2023-05-21,Standard,Monthly,2023-07-24,Too expensive,15.99,223.86,65,1,Rohan,India,Madhya Pradesh,Male,1986-12-16,,,,
2032-JLSUI,2019-01-18,Organic,2020-01-18,Standard,Annual,2019-05-07,Poor streaming quality,13.99,41.97,90,1,Mohan,India,Kerala,Female,1974-11-18,,,,
5914-IKAYS,2022-04-14,Organic,2023-04-14,Basic,Monthly,2023-04-12,Switched to competitor,8.99,107.88,87,1,Tanvi,India,Telangana,Female,1970-07-23,2023-03-22,N,70.0,1.0
4194-VATRN,2023-07-08,Referral,2024-07-08,Premium,Annual,,,22.99,689.7,73,0,Aarav,India,Madhya Pradesh,Male,1977-03-01,2025-12-10,Y,10.0,1.0
0944-UYLZT,2023-05-26,Paid,2024-05-26,Standard,Annual,,,15.99,495.69,27,0,Shreya,India,Tamil Nadu,Female,1980-07-30,,,,
7377-IKMYQ,2021-12-03,Referral,2022-12-03,Premium,Annual,2023-11-12,Too expensive,24.99,574.77,82,1,Arjun,India,Rajasthan,Male,1962-10-03,2021-12-09,Y,40.0,1.0
3658-TVDAM,2019-10-21,Organic,2020-10-21,Premium,Annual,,,22.99,1724.25,15,0,Arjun,India,Uttar Pradesh,Male,1965-10-22,,,,
1157-OBSNE,2021-11-14,Referral,2022-11-14,Standard,Monthly,,,14.99,749.5,36,0,Neha,India,Kerala,Male,1991-11-27,2025-03-19,N,80.0,1.0
3034-KLYTZ,2023-02-28,Referral,2024-02-28,Standard,Monthly,,,15.99,543.66,40,0,Rohan,India,Uttar Pradesh,Female,1964-02-18,,,,
8365-VGPCN,2024-08-07,Referral,2025-08-07,Standard,Annual,,,13.99,237.83,80,0,Aditya,India,Gujarat,Male,1977-05-06,2024-11-28,N,90.0,1.0
8559-PSPVN,2021-08-13,Paid,2022-08-13,Standard,Annual,,,14.99,794.47,17,0,Arjun,India,Telangana,Female,1979-04-04,,,,
6840-HBNNA,2024-04-10,Paid,2025-04-10,Premium,Annual,,,23.99,503.79,37,0,Pooja,India,Haryana,Female,1984-05-24,,,,
5584-ZXWHX,2020-01-08,Organic,2021-01-08,Premium,Annual,2021-02-04,Not enough content,22.99,298.87,78,1,Neha,India,Tamil Nadu,Male,1985-01-06,2020-02-17,N,60.0,1.0
2069-MZXVU,2019-01-24,Referral,2020-01-24,Premium,Annual,,,24.99,2099.16,54,0,Aarav,India,Telangana,Male,2000-04-17,,,,
